coreid,identifiedBy,identifiedByID,dateIdentified,identificationQualifier,scientificName,tidInterpreted,identificationIsCurrent,scientificNameAuthorship,genus,specificEpithet,taxonRank,infraspecificEpithet,identificationReferences,identificationRemarks,recordId,modified
100272,JPawelek,,2017,or,"Lasioglossum (Lasio)",,0,,,,,,,,urn:uuid:e6331de2-075b-43c2-a644-8f422e799a2b,"2018-02-24 10:34:30"
100336,"Jaime Pawelek",,2017,,"Lasioglossum (Lasio)",,0,,,,,,,,urn:uuid:405a0c2e-8164-4155-b93a-52965d17439b,"2018-02-24 11:29:02"
100329,JPawelek,,2017,,"Lasioglossum (Lasio)",,1,,,,,,,,urn:uuid:16ba7934-81b9-4498-9ea7-20cf2edf2405,"2018-02-24 11:32:42"
100344,"Jaime Pawelek",,2017,,"Lasioglossum (Lasio)",,0,,,,,,,,urn:uuid:c57f0e19-7dfd-4462-a1e1-80052a3119b8,"2018-02-24 11:34:03"
100347,JPawelek,,2017,,"Lasioglossum (Lasio)",,0,,,,,,,,urn:uuid:60d84dd6-6f4c-45e7-8406-9ee0cf3dcc00,"2018-02-24 12:04:52"
100411,unknown,,unknown,,Machilidae,,0,,,,,,,,urn:uuid:514bded6-ba18-4d6a-b9c4-dfb08ecd8d40,"2018-02-24 13:11:57"
102607,"Katja Seltmann",,2018,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:68ef0049-c7c3-4207-a7e5-a63e2034cb67,"2018-04-16 15:32:15"
102608,"Katja Seltmann",,2018,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:71fe6016-204b-4b3f-ad5b-e4e627509ad8,"2018-04-16 15:32:41"
102609,"Katja Seltmann",,2018,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:a15286dc-3e57-49ac-b218-655f7e4a8b11,"2018-04-16 15:33:11"
102610,"Katja Seltmann",,2018,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:6758f018-ba86-4414-8beb-7c3d78221941,"2018-04-16 15:33:51"
102610,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU901",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:4781d4fb-865a-4245-9f92-f6df85ede0a5,"2018-04-16 15:34:53"
102609,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1105",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:2cc1136a-e36a-49c3-ac8f-7cda0b7e33c3,"2018-04-16 15:39:06"
102607,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1253",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:3f9b5e8a-cb96-4ceb-b816-deb5342a5fd5,"2018-04-16 15:40:17"
102608,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1253",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:34db21ef-13ad-44e4-accd-dac38216e5a2,"2018-04-16 15:40:50"
102611,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:32b8bbf4-779e-49b8-98e9-b550bd02909e,"2018-04-16 15:42:18"
102611,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1253",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:8b4279ed-f734-496b-89c8-9a3b924a470b,"2018-04-16 15:42:28"
102612,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:1efe211e-cdde-432e-82ab-5b214fa802b4,"2018-04-16 15:46:57"
102612,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU730",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:1a6602e5-235a-48a2-a6f9-c09c5e405082,"2018-04-16 15:47:04"
102613,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:96dcaa05-782a-45c9-a297-cd7c479547ed,"2018-04-16 15:54:34"
102613,"Katja Seltmann",,2018,,"Encyrtidae gen. sp. OTUENCY001",,1,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:1bdcb358-37b7-412b-ae98-1f038d330785,"2018-04-16 15:54:55"
102614,"Katja Seltmann",,"March 2018",,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:799610b6-c0c5-498e-9b09-dd462cf05a0c,"2018-04-16 15:55:50"
102614,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU730",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:2869d611-e264-4e21-b3e8-923f513e69c9,"2018-04-16 15:55:59"
102615,"Katja Seltmann",,"March 2018",,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:00f5ff99-a9f2-400a-bd78-0bb4839d9cd4,"2018-04-16 15:56:50"
102615,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTUENCY003",,1,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:9723a84f-d250-4ea3-99da-97d307c84e32,"2018-04-16 15:56:56"
102616,"Katja Seltmann",,"March 2018",,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:dd2efa9a-a4cb-4a8c-9b7f-24671bb031f6,"2018-04-16 16:07:04"
102616,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTUENCY002",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:a2646e62-854a-4e3d-9e73-5b123c8655c3,"2018-04-16 16:07:04"
102617,"Katja Seltmann",,"March 2018",,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:315971fc-0e7b-4d70-9dc8-c7c5f8edeed5,"2018-04-16 16:07:54"
102617,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTUENCY002",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:8bf48878-ecde-42af-a3fc-0179cddee49b,"2018-04-16 16:07:54"
102618,"Katja Seltmann",,"March 2018",,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:410b1d91-2a3b-4671-abbc-6afac0f54698,"2018-04-16 16:10:59"
102618,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTUENCY002",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:a98a82f9-3b80-4aac-82a5-597202cd261e,"2018-04-16 16:10:59"
102814,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:acfe4e61-dc34-4988-9189-7d415c904dc0,"2018-04-16 16:12:03"
102814,"Katja Seltmann",,2018,,"Encyrtidae gen. sp. OTU1253",,0,"Seltmann, 2018",,,,,,,urn:uuid:5013177a-d2da-4081-9db0-664c19dea735,"2018-04-16 16:12:03"
102815,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:60405ddb-ccad-4819-b6c6-371e23de9138,"2018-04-16 16:13:24"
102815,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1253",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:7a11d83a-20bb-414f-b57a-dbe09c1aa29f,"2018-04-16 16:13:24"
102816,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:adb2a0aa-1a55-461a-ae3f-76e746e12abf,"2018-04-16 16:14:40"
102816,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1253",,1,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:ae74d378-44a1-4e37-8dbb-10830dca1f7f,"2018-04-16 16:14:40"
102817,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:10d04d31-cd37-4d70-ae2c-d6cd9c43aabe,"2018-04-16 16:15:24"
102817,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1253",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:842578ee-8dbe-475f-9bb1-d810e7acb488,"2018-04-16 16:15:24"
102818,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:82001780-c988-43ec-93e8-231b7990e06b,"2018-04-16 16:16:29"
102818,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1253",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:0c8c0bd9-a7c6-4e02-9ac7-2116ad40c75a,"2018-04-16 16:16:29"
102819,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:4f0c93b9-9db0-4747-8093-ac6f0bc12985,"2018-04-16 16:17:33"
102819,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1253",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:70ec40d2-6a20-4290-9919-8325b0809513,"2018-04-16 16:17:33"
102820,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:b2391e7a-45c3-4648-81b6-3b7e83eaf5dc,"2018-04-16 16:21:25"
102820,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1253",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:ed98b62d-57b3-4b83-a802-90feceb8ed93,"2018-04-16 16:21:25"
102821,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:7c195d8b-9b0f-4731-a1b8-ed419758bbf1,"2018-04-16 16:22:20"
102821,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1252",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:49533271-c1f1-4bcb-8cb2-7e3ede092f38,"2018-04-16 16:22:20"
102822,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:d04ae97d-d186-4a54-a8bc-80a035eeec18,"2018-04-16 16:23:39"
102822,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1252",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:0b002b12-96cf-4201-8351-cff0d912f0cd,"2018-04-16 16:23:39"
102823,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:7364e0e5-5211-4fba-8802-6e5e63538ab4,"2018-04-16 16:24:33"
102823,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1252",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:804f653d-6c69-49e8-a5f9-422f19f0440a,"2018-04-16 16:24:33"
102824,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:e8d98163-4b13-4cec-b1c7-626034e477e7,"2018-04-16 16:49:15"
102824,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU378",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:4a22aaf9-3b86-4f46-bf36-a8f9b2a57738,"2018-04-16 16:49:15"
102825,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:ca4ac286-372d-481d-8efd-dc2b579ac5f1,"2018-04-16 16:50:08"
102825,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU378",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:0f0864c6-0a74-4eb6-94f4-f907d800cfb4,"2018-04-16 16:50:09"
102826,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:99e2abab-76fd-4b66-be7f-f16e9784de25,"2018-04-16 16:51:10"
102826,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU378",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:ffc63a93-16cf-46a0-9975-93981c678aba,"2018-04-16 16:51:10"
102827,"Katja Seltmann",,"March 2018",,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:f9a91b67-cc4c-4baa-83f5-065ccd873790,"2018-04-16 16:51:57"
102827,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTUENCY004",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:e8e8357e-8a82-4096-bdef-61d3b8ed5518,"2018-04-16 16:51:57"
102828,"Katja Seltmann",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:f2edea10-99a2-4906-81c9-3fb28e500279,"2018-04-16 16:52:47"
102828,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTUENCY004",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:1f55ca37-2e71-46ae-9e89-1bf482cb945d,"2018-04-16 16:52:47"
102829,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:7fc245ee-4d11-4ed7-8467-4960ff95c32e,"2018-04-16 16:53:52"
102829,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU999",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:26eddd86-519f-4f0c-bbfd-98485c24d493,"2018-04-16 16:53:52"
102830,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:a5c235f7-fe57-4e83-8ef5-8874d6982a9f,"2018-04-16 16:54:37"
102830,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU999",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:810742cc-f0a8-4d59-817f-045409c2def3,"2018-04-16 16:54:37"
102831,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:ce3398ad-e228-4a1d-a8af-ec20d2a06143,"2018-04-16 16:55:30"
102831,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1255",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:af760003-9f3f-4548-9f5a-c55dbb6fe82e,"2018-04-16 16:55:30"
102833,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:ba32633c-538f-4ecb-9fb0-bd20ea7bffe7,"2018-04-16 16:56:24"
102833,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU729",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:7ba3d746-1ff2-4f82-899f-5ad8ae4a0d69,"2018-04-16 16:56:24"
102834,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:4dcb928a-fe22-4903-9361-e21c5960e3ef,"2018-04-16 16:57:24"
102834,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU730",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:e061d4c4-bc1b-4c8b-b0ff-ae0cda942a36,"2018-04-16 16:57:24"
102835,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:788e22c4-bbfb-44af-8a79-6ed663bbd2f5,"2018-04-17 07:07:59"
102835,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU730",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:58d0f6da-97d3-47d3-b4ce-34c663dd8aea,"2018-04-17 07:07:59"
102836,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:b6a47c09-a6fa-4d75-81a2-81e8c32167bd,"2018-04-17 07:11:09"
102836,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTUENCY002",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:d8261653-406a-4efc-acca-63e3631854d8,"2018-04-17 07:11:09"
102837,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:25073b86-dc8d-4da6-82b7-68c4e06c80eb,"2018-04-17 07:12:16"
102837,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU999",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:10868154-6b33-4613-803c-a170da5c9570,"2018-04-17 07:12:16"
102838,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:20b6824c-d19e-4e00-ac11-b38bec4b6e28,"2018-04-17 07:13:04"
102838,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU999",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:0b93f297-c064-492f-a70a-4d63d97ad7a6,"2018-04-17 07:13:04"
102839,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:4e18dbbd-893d-4601-be56-ff641fe1c445,"2018-04-17 07:13:50"
102839,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1333",,1,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:eec939be-6bb5-478d-b560-33275638d730,"2018-04-17 07:13:50"
102840,"Katja Seltmann",,"March 2018",,Chalcidoidea,,1,,,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:ef3723f8-0703-4948-8833-8c70f3663203,"2018-04-17 07:15:53"
102841,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:ed19968c-dae3-4d07-9f83-717baf89a571,"2018-04-17 07:17:04"
102841,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1253",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:6120a713-2208-4944-b3f1-fadad2d02689,"2018-04-17 07:17:04"
102842,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:ff6b218a-3b6c-492e-8b37-0353d18e2edd,"2018-04-17 07:17:59"
102842,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1253",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:f548d5d8-3bba-4400-ab8d-f7140ca410ef,"2018-04-17 07:17:59"
102843,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:02a627a3-189e-4eed-ac46-e58aa757521c,"2018-04-17 07:18:49"
102843,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU1110",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:056510a7-671b-42f4-b5d8-b397b4707c91,"2018-04-17 07:18:49"
102844,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:64b91bc6-8452-4325-b40a-93935c8d31f9,"2018-04-17 07:19:33"
102844,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU730",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:29b1546e-da0b-4fd2-9c86-7fa3a7b90e97,"2018-04-17 07:19:33"
180487,"Rachel Behm",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:a5633edc-9f17-4f98-ac20-a147acbda720,"2018-04-17 07:20:20"
180487,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTU730",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:d02b661b-0ef7-44bf-8d17-3a3dcfe35e44,"2018-04-17 07:20:20"
102846,"Katja Seltmann",,"March 2018",,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:e97012ca-3e1b-45bc-b7bb-a381e10aeaef,"2018-04-17 07:21:02"
102846,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTUENCY005",,1,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:b0c519bd-10df-4a55-9d27-df5806f37f0f,"2018-04-17 07:21:02"
102847,"Katja Seltmann",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:8b27b000-d5a4-4592-9fd5-87b4aae65bfc,"2018-04-17 07:21:45"
102847,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTUENCY006",,0,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:2a0dab97-314d-4e21-abdf-3b714e38cd1a,"2018-04-17 07:21:45"
102848,"Katja Seltmann",,2017,,Encyrtidae,,0,"Walker, 1837",,,,,"A handbook of the families of Nearctic Chalcidoidea (Hymenoptera). 2nd Edition Grissell E.E., Schauff M. E. 1997. Ent. Soc. Wash. 87pp.",,urn:uuid:8a1ec4cf-ae18-4de4-9826-8d04e5e6013c,"2018-04-17 07:22:40"
102848,"Katja Seltmann",,"March 2018",,"Encyrtidae gen. sp. OTUENCY006",,1,"Seltmann, 2018",,,,,"Compared with specimens from the same locality",,urn:uuid:aa554610-105e-45c6-9aae-8a1f90a1a487,"2018-04-17 07:22:40"
