gbifID	type	format	identifier	references	title	description	source	audience	created	creator	contributor	publisher	license	rightsHolder
3051551547	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044477.jpg											
3051551545	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00043/UCSB-IZC00043137_1613679040_lg.jpg											
3051551544	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00041/UCSB-IZC00041348_1613678409_lg.jpg											
3051551543	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044929_1613678772_lg.jpg											
3051551542	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00043/UCSB-IZC00043089_1613678095_lg.jpg											
3051551541	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00041/UCSB-IZC00041789_1613679327_lg.jpg											
3051551540	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00004/UCSB-IZC00004198_1613677471_lg.jpg											
3051551539	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00041/UCSB-IZC00041382_1613678254_lg.jpg											
3051551538	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00043/UCSB-IZC00043560_1613677876_lg.jpg											
3051551537	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00043/2021-02-25-154039_ZS_PMax_3X_4_1614299490_lg.jpg											
3051551537	StillImage	image/png	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00043/UCSB-IZC00043134_1613688345.png											
3051551536	StillImage	image/png	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00043/UCSB-IZC00043542_1613688418.png											
3051551535	StillImage	image/png	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00041/UCSB-IZC00041337_1613688771_lg.png											
3051551534	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00041/UCSB-IZC00041375_1613679410.jpg											
3051551533	StillImage	image/png	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00040/UCSB-IZC00040336_1613688697_lg.png											
3051551532	StillImage	image/png	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00041/UCSB-IZC00041421_1613688629.png											
3051551531	StillImage	image/png	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00041/UCSB-IZC00041314_1613688479_lg.png											
3051551530	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044915.jpg											
3051551529	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044916_lg.jpg											
3051551528	StillImage	image/png	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00041/UCSB-IZC00041283_1613688557_lg.png											
3051551527	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044928.jpg											
3051551526	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044926.jpg											
3051551525	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044917.jpg											
3051551524	StillImage	image/jpeg	https://symbiota.ccber.ucsb.edu:443/content/specimenImages/UCSB_IZC/UCSB-IZC00044/UCSB-IZC00044927.jpg											
